jp_name,en_name,position,company,post_number,adress1,adress2,contact1,contact2,contact3,contact4,image,artboard_name
成瀬 美智子,Naruse Michiko,代表取締役,株式会社DOMSCRIPT,〒538-0003,静岡県石橋市桃源郷４丁目６−１,神島ビル2F,TEL: 06-8155- 2433,MOBILE: 044-818-1244,MAIL: naruse_michiko@example.com,,naruse_michiko.psd,
福田 陽介,Fukuda Yousuke,取締役/DCマスター,株式会社DOMSCRIPT,〒538-0003,静岡県石橋市桃源郷４丁目６−１,神島ビル2F,TEL: 06-8155- 2433,MOBILE: 074-361- 766,MAIL: fukuda_yousuke@example.com,,fukuda_yousuke.psd,
羽田 璃子,Hata Riko,顧問,株式会社DOMSCRIPT,〒538-0003,静岡県石橋市桃源郷４丁目６−１,神島ビル2F,TEL: 06-8155- 2433,MOBILE: 053-466- 792,MAIL: hata_riko@example.com,,namecard_bg_default.psd,
重松 薫,Shigematsu Kaoru,広報部/営業,株式会社DOMSCRIPT,〒538-0003,静岡県石橋市桃源郷４丁目６−１,神島ビル2F,TEL: 06-8155- 2433,MOBILE: 036-810-1127,MAIL: shigematsu_kaoru@example.com,,shigematsu_kaoru.psd,
本橋 恵梨香,Motohashi Erika,カスタマーサポート部/部長,株式会社DOMSCRIPT,〒538-0003,静岡県石橋市桃源郷４丁目６−１,神島ビル2F,TEL: 06-8155- 2433,MOBILE: 010-946-1404,MAIL: motohashi_erika@example.com,　　　 suppot@example.com,motohashi_erika.psd,
諏訪 たかお,Suwa Takao,販売事業部/マーケティング,株式会社DOMSCRIPT,〒538-0003,静岡県石橋市桃源郷４丁目６−１,神島ビル2F,TEL: 06-8155- 2433,MOBILE: 064-273-5013,MAIL: suwa_takao@example.com,,namecard_bg_default.psd,
柳 美幸,Yanagi Miyuki,編集部室長/主任ライター,株式会社DOMSCRIPT,〒538-0003,静岡県石橋市桃源郷４丁目６−１,神島ビル2F,TEL: 06-8155- 2433,MOBILE: 065-187-6653,MAIL: yanagi_miyuki@example.com,,namecard_bg_default.psd,
都築 憲史,Tsuduki Norihito,WEB開発部/デザイナー,株式会社DOMSCRIPT,〒538-0003,静岡県石橋市桃源郷４丁目６−１,神島ビル2F,TEL: 06-8155- 2433,MOBILE: 038- 57-1849,MAIL: tsuduki_norihito@example.com,,namecard_bg_default.psd,
高橋 未來,Takahashi Mirai,WEB開発部/エンジニア,株式会社DOMSCRIPT,〒538-0003,静岡県石橋市桃源郷４丁目６−１,神島ビル2F,TEL: 06-8155- 2433,MOBILE: 078-841-9762,MAIL: takahashi_mirai@example.com,,namecard_bg_default.psd,
北条 ケンイチ,Houjou Kenichi,参画ライター/サポート部,株式会社DOMSCRIPT,〒538-0003,静岡県石橋市桃源郷４丁目６−１,神島ビル2F,TEL: 06-8155- 2433,MOBILE: 079-845-3264,MAIL: houjou_kenichi@example.com,　　　 suppot@example.com,namecard_bg_default.psd,
仲田 洋,Nakata You,参画ライター/サポート部,株式会社DOMSCRIPT,〒538-0003,静岡県石橋市桃源郷４丁目６−１,神島ビル2F,TEL: 06-8155- 2433,MOBILE: 050-923-9281,MAIL: nakata_you@example.com,　　　 suppot@example.com,namecard_bg_default.psd,
鬼頭 六郎,Kitou Rokurou,参画ライター/サポート部,株式会社DOMSCRIPT,〒538-0003,静岡県石橋市桃源郷４丁目６−１,神島ビル2F,TEL: 06-8155- 2433,MOBILE: 089-427-4904,MAIL: kitou_rokurou@example.com,　　　 suppot@example.com,namecard_bg_default.psd,
伊藤 一恵,Itou Kadue,参画ライター/サポート部,株式会社DOMSCRIPT,〒538-0003,静岡県石橋市桃源郷４丁目６−１,神島ビル2F,TEL: 06-8155- 2433,MOBILE: 059-393-8414,MAIL: itou_kadue@example.com,　　　 suppot@example.com,namecard_bg_default.psd,
宇都宮 啓介,Utsunomiya Keisuke,参画ライター/サポート部,株式会社DOMSCRIPT,〒538-0003,静岡県石橋市桃源郷４丁目６−１,神島ビル2F,TEL: 06-8155- 2433,MOBILE: 021-417-2578,MAIL: utsunomiya_keisuke@example.com,　　　 suppot@example.com,namecard_bg_default.psd,
戸田 美帆,Toda Miho,参画ライター/サポート部,株式会社DOMSCRIPT,〒538-0003,静岡県石橋市桃源郷４丁目６−１,神島ビル2F,TEL: 06-8155- 2433,MOBILE: 047-770-6346,MAIL: toda_miho@example.com,　　　 suppot@example.com,namecard_bg_default.psd,
平野 朝陽,Hirano Asahi,参画ライター/サポート部,株式会社DOMSCRIPT,〒538-0003,静岡県石橋市桃源郷４丁目６−１,神島ビル2F,TEL: 06-8155- 2433,MOBILE: 047-783-5076,MAIL: hirano_asahi@example.com,　　　 suppot@example.com,namecard_bg_default.psd,
土居 一,Doi Hajime,参画ライター,株式会社DOMSCRIPT,〒538-0003,静岡県石橋市桃源郷４丁目６−１,神島ビル2F,TEL: 06-8155- 2433,MOBILE: 044-755-2900,MAIL: info@example.com,,namecard_bg_default.psd,
増田 南朋,Masuda Nao,参画ライター,株式会社DOMSCRIPT,〒538-0003,静岡県石橋市桃源郷４丁目６−１,神島ビル2F,TEL: 06-8155- 2433,MOBILE: 027-154-5918,MAIL: info@example.com,,namecard_bg_default.psd,
宮里 亮介,Miyazato Ryousuke,参画ライター,株式会社DOMSCRIPT,〒538-0003,静岡県石橋市桃源郷４丁目６−１,神島ビル2F,TEL: 06-8155- 2433,MOBILE: 067-321-2298,MAIL: info@example.com,,namecard_bg_default.psd,
谷川 広之,tanikawa hiroyuki,参画ライター,株式会社DOMSCRIPT,〒538-0003,静岡県石橋市桃源郷４丁目６−１,神島ビル2F,TEL: 06-8155- 2433,MOBILE: 080-417-3045,MAIL: info@example.com,,namecard_bg_default.psd,
,,,,,,,,,,,,
,,,,,,,,,,,,
